"yearDraft","numberPickOverall","numberRound","numberRoundPick","namePlayer","slugTeam","nameOrganizationFrom","typeOrganizationFrom","idPlayer","idTeam","nameTeam","cityTeam","teamName","PLAYER_PROFILE_FLAG","slugOrganizationTypeFrom","locationOrganizationFrom"
2022,1,1,1,"Paolo Banchero","ORL","Duke","College/University",1631094,1610612753,"Orlando Magic","Orlando","Magic",1,"COL",NA
2022,2,1,2,"Chet Holmgren","OKC","Gonzaga","College/University",1631096,1610612760,"Oklahoma City Thunder","Oklahoma City","Thunder",1,"COL",NA
2022,3,1,3,"Jabari Smith Jr.","HOU","Auburn","College/University",1631095,1610612745,"Houston Rockets","Houston","Rockets",1,"COL",NA
2022,4,1,4,"Keegan Murray","SAC","Iowa","College/University",1631099,1610612758,"Sacramento Kings","Sacramento","Kings",1,"COL",NA
2022,5,1,5,"Jaden Ivey","DET","Purdue","College/University",1631093,1610612765,"Detroit Pistons","Detroit","Pistons",1,"COL",NA
2022,6,1,6,"Bennedict Mathurin","IND","Arizona","College/University",1631097,1610612754,"Indiana Pacers","Indiana","Pacers",1,"COL",NA
2022,7,1,7,"Shaedon Sharpe","POR","Kentucky","College/University",1631101,1610612757,"Portland Trail Blazers","Portland","Trail Blazers",1,"COL",NA
2022,8,1,8,"Dyson Daniels","NOP","Ignite","Other Team/Club",1630700,1610612740,"New Orleans Pelicans","New Orleans","Pelicans",1,"PRO","G League"
2022,9,1,9,"Jeremy Sochan","SAS","Baylor","College/University",1631110,1610612759,"San Antonio Spurs","San Antonio","Spurs",1,"COL",NA
2022,10,1,10,"Johnny Davis","WAS","Wisconsin","College/University",1631098,1610612764,"Washington Wizards","Washington","Wizards",1,"COL",NA
2022,11,1,11,"Ousmane Dieng","NYK","Breakers","Other Team/Club",1631172,1610612752,"New York Knicks","New York","Knicks",1,"PRO","New Zealand"
2022,12,1,12,"Jalen Williams","OKC","Santa Clara","College/University",1631114,1610612760,"Oklahoma City Thunder","Oklahoma City","Thunder",1,"COL",NA
2022,13,1,13,"Jalen Duren","CHA","Memphis","College/University",1631105,1610612766,"Charlotte Hornets","Charlotte","Hornets",1,"COL",NA
2022,14,1,14,"Ochai Agbaji","CLE","Kansas","College/University",1630534,1610612739,"Cleveland Cavaliers","Cleveland","Cavaliers",1,"COL",NA
2022,15,1,15,"Mark Williams","CHA","Duke","College/University",1631109,1610612766,"Charlotte Hornets","Charlotte","Hornets",1,"COL",NA
2022,16,1,16,"AJ Griffin","ATL","Duke","College/University",1631100,1610612737,"Atlanta Hawks","Atlanta","Hawks",1,"COL",NA
2022,17,1,17,"Tari Eason","HOU","Louisiana State","College/University",1631106,1610612745,"Houston Rockets","Houston","Rockets",1,"COL",NA
2022,18,1,18,"Dalen Terry","CHI","Arizona State","College/University",1631207,1610612741,"Chicago Bulls","Chicago","Bulls",1,"COL",NA
2022,19,1,19,"Jake LaRavia","MIN","Wake Forest","College/University",1631222,1610612750,"Minnesota Timberwolves","Minnesota","Timberwolves",1,"COL",NA
2022,20,1,20,"Malaki Branham","SAS","Ohio State","College/University",1631103,1610612759,"San Antonio Spurs","San Antonio","Spurs",1,"COL",NA
2022,21,1,21,"Christian Braun","DEN","Kansas","College/University",1631128,1610612743,"Denver Nuggets","Denver","Nuggets",1,"COL",NA
2022,22,1,22,"Walker Kessler","MEM","Auburn","College/University",1631117,1610612763,"Memphis Grizzlies","Memphis","Grizzlies",1,"COL",NA
2022,23,1,23,"David Roddy","PHI","Colorado State","College/University",1631223,1610612755,"Philadelphia 76ers","Philadelphia","76ers",1,"COL",NA
2022,24,1,24,"MarJon Beauchamp","MIL","Ignite","Other Team/Club",1630699,1610612749,"Milwaukee Bucks","Milwaukee","Bucks",1,"PRO","G League"
2022,25,1,25,"Blake Wesley","SAS","Notre Dame","College/University",1631104,1610612759,"San Antonio Spurs","San Antonio","Spurs",1,"COL",NA
2022,26,1,26,"Wendell Moore Jr.","DAL","Duke","College/University",1631111,1610612742,"Dallas Mavericks","Dallas","Mavericks",1,"COL",NA
2022,27,1,27,"Nikola Jovic","MIA","KK Mega Leks","Other Team/Club",1631107,1610612748,"Miami Heat","Miami","Heat",1,"PRO","Serbia"
2022,28,1,28,"Patrick Baldwin Jr.","GSW","Wisconsin-Milwaukee","College/University",1631116,1610612744,"Golden State Warriors","Golden State","Warriors",1,"COL",NA
2022,29,1,29,"TyTy Washington Jr.","MEM","Kentucky","College/University",1631102,1610612763,"Memphis Grizzlies","Memphis","Grizzlies",1,"COL",NA
2022,30,1,30,"Peyton Watson","OKC","California-Los Angeles","College/University",1631212,1610612760,"Oklahoma City Thunder","Oklahoma City","Thunder",1,"COL",NA
2022,31,2,1,"Andrew Nembhard","IND","Gonzaga","College/University",1629614,1610612754,"Indiana Pacers","Indiana","Pacers",1,"COL",NA
2022,32,2,2,"Caleb Houstan","ORL","Michigan","College/University",1631216,1610612753,"Orlando Magic","Orlando","Magic",1,"COL",NA
2022,33,2,3,"Christian Koloko","TOR","Arizona","College/University",1631132,1610612761,"Toronto Raptors","Toronto","Raptors",1,"COL",NA
2022,34,2,4,"Jaylin Williams","OKC","Arkansas","College/University",1631119,1610612760,"Oklahoma City Thunder","Oklahoma City","Thunder",1,"COL",NA
2022,35,2,5,"Max Christie","LAL","Michigan State","College/University",1631108,1610612747,"Los Angeles Lakers","Los Angeles","Lakers",1,"COL",NA
2022,36,2,6,"Gabriele Procida","POR","Fortitudo Pallacanestro Bologna","Other Team/Club",1630629,1610612757,"Portland Trail Blazers","Portland","Trail Blazers",0,"PRO","Italy"
2022,37,2,7,"Jaden Hardy","SAC","Ignite","Other Team/Club",1630702,1610612758,"Sacramento Kings","Sacramento","Kings",1,"PRO","G League"
2022,38,2,8,"Kennedy Chandler","SAS","Tennessee","College/University",1631113,1610612759,"San Antonio Spurs","San Antonio","Spurs",1,"COL",NA
2022,39,2,9,"Khalifa Diop","CLE","CB Gran Canaria","Other Team/Club",1631215,1610612739,"Cleveland Cavaliers","Cleveland","Cavaliers",0,"PRO","Spain"
2022,40,2,10,"Bryce McGowens","MIN","Nebraska","College/University",1631121,1610612750,"Minnesota Timberwolves","Minnesota","Timberwolves",1,"COL",NA
2022,41,2,11,"E.J. Liddell","NOP","Ohio State","College/University",1630604,1610612740,"New Orleans Pelicans","New Orleans","Pelicans",1,"COL",NA
2022,42,2,12,"Trevor Keels","NYK","Duke","College/University",1631211,1610612752,"New York Knicks","New York","Knicks",1,"COL",NA
2022,43,2,13,"Moussa Diabate","LAC","Michigan","College/University",1631217,1610612746,"LA Clippers","LA","Clippers",1,"COL",NA
2022,44,2,14,"Ryan Rollins","ATL","Toledo","College/University",1631157,1610612737,"Atlanta Hawks","Atlanta","Hawks",1,"COL",NA
2022,45,2,15,"Josh Minott","CHA","Memphis","College/University",1631169,1610612766,"Charlotte Hornets","Charlotte","Hornets",1,"COL",NA
2022,46,2,16,"Ismael Kamagate","DET","Paris","Other Team/Club",1631130,1610612765,"Detroit Pistons","Detroit","Pistons",0,"PRO","France"
2022,47,2,17,"Vince Williams Jr.","MEM","Virginia Commonwealth","College/University",1631246,1610612763,"Memphis Grizzlies","Memphis","Grizzlies",1,"COL",NA
2022,48,2,18,"Kendall Brown","MIN","Baylor","College/University",1631112,1610612750,"Minnesota Timberwolves","Minnesota","Timberwolves",1,"COL",NA
2022,49,2,19,"Isaiah Mobley","CLE","Southern California","College/University",1630600,1610612739,"Cleveland Cavaliers","Cleveland","Cavaliers",1,"COL",NA
2022,50,2,20,"Matteo Spagnolo","MIN","Vanoli Cremona","Other Team/Club",1631164,1610612750,"Minnesota Timberwolves","Minnesota","Timberwolves",0,"PRO","Italy"
2022,51,2,21,"Tyrese Martin","GSW","Connecticut","College/University",1631213,1610612744,"Golden State Warriors","Golden State","Warriors",1,"COL",NA
2022,52,2,22,"Karlo Matkovic","NOP","Mega Mozzart","Other Team/Club",1631255,1610612740,"New Orleans Pelicans","New Orleans","Pelicans",0,"PRO","Serbia"
2022,53,2,23,"JD Davison","BOS","Alabama","College/University",1631120,1610612738,"Boston Celtics","Boston","Celtics",1,"COL",NA
2022,54,2,24,"Yannick Nzosa","WAS","Unicaja Baloncesto Malaga","Other Team/Club",1631161,1610612764,"Washington Wizards","Washington","Wizards",0,"PRO","Spain"
2022,55,2,25,"Gui Santos","GSW","Associacao Atletica Ponte Preta","Other Team/Club",1630611,1610612744,"Golden State Warriors","Golden State","Warriors",0,"PRO","Brazil"
2022,56,2,26,"Luke Travers","CLE","Perth Wildcats","Other Team/Club",1631247,1610612739,"Cleveland Cavaliers","Cleveland","Cavaliers",0,"PRO","Australia"
2022,57,2,27,"Jabari Walker","POR","Colorado","College/University",1631133,1610612757,"Portland Trail Blazers","Portland","Trail Blazers",1,"COL",NA
2022,58,2,28,"Hugo Besson","IND","Breakers","Other Team/Club",1630656,1610612754,"Indiana Pacers","Indiana","Pacers",0,"PRO","New Zealand"
2021,1,1,1,"Cade Cunningham","DET","Oklahoma State","College/University",1630595,1610612765,"Detroit Pistons","Detroit","Pistons",1,"COL",NA
2021,2,1,2,"Jalen Green","HOU","Ignite","Other Team/Club",1630224,1610612745,"Houston Rockets","Houston","Rockets",1,"PRO","G League"
2021,3,1,3,"Evan Mobley","CLE","Southern California","College/University",1630596,1610612739,"Cleveland Cavaliers","Cleveland","Cavaliers",1,"COL",NA
2021,4,1,4,"Scottie Barnes","TOR","Florida State","College/University",1630567,1610612761,"Toronto Raptors","Toronto","Raptors",1,"COL",NA
2021,5,1,5,"Jalen Suggs","ORL","Gonzaga","College/University",1630591,1610612753,"Orlando Magic","Orlando","Magic",1,"COL",NA
2021,6,1,6,"Josh Giddey","OKC","NBA Global Academy","Other Team/Club",1630581,1610612760,"Oklahoma City Thunder","Oklahoma City","Thunder",1,"PRO","Australia"
2021,7,1,7,"Jonathan Kuminga","GSW","Ignite","Other Team/Club",1630228,1610612744,"Golden State Warriors","Golden State","Warriors",1,"PRO","G League"
2021,8,1,8,"Franz Wagner","ORL","Michigan","College/University",1630532,1610612753,"Orlando Magic","Orlando","Magic",1,"COL",NA
2021,9,1,9,"Davion Mitchell","SAC","Baylor","College/University",1630558,1610612758,"Sacramento Kings","Sacramento","Kings",1,"COL",NA
2021,10,1,10,"Ziaire Williams","NOP","Stanford","College/University",1630533,1610612740,"New Orleans Pelicans","New Orleans","Pelicans",1,"COL",NA
2021,11,1,11,"James Bouknight","CHA","Connecticut","College/University",1630547,1610612766,"Charlotte Hornets","Charlotte","Hornets",1,"COL",NA
2021,12,1,12,"Joshua Primo","SAS","Alabama","College/University",1630563,1610612759,"San Antonio Spurs","San Antonio","Spurs",1,"COL",NA
2021,13,1,13,"Chris Duarte","IND","Oregon","College/University",1630537,1610612754,"Indiana Pacers","Indiana","Pacers",1,"COL",NA
2021,14,1,14,"Moses Moody","GSW","Arkansas","College/University",1630541,1610612744,"Golden State Warriors","Golden State","Warriors",1,"COL",NA
2021,15,1,15,"Corey Kispert","WAS","Gonzaga","College/University",1630557,1610612764,"Washington Wizards","Washington","Wizards",1,"COL",NA
2021,16,1,16,"Alperen Sengun","OKC","Besiktas","Other Team/Club",1630578,1610612760,"Oklahoma City Thunder","Oklahoma City","Thunder",1,"PRO","Turkey"
2021,17,1,17,"Trey Murphy III","MEM","Virginia","College/University",1630530,1610612763,"Memphis Grizzlies","Memphis","Grizzlies",1,"COL",NA
2021,18,1,18,"Tre Mann","OKC","Florida","College/University",1630544,1610612760,"Oklahoma City Thunder","Oklahoma City","Thunder",1,"COL",NA
2021,19,1,19,"Kai Jones","NYK","Texas","College/University",1630539,1610612752,"New York Knicks","New York","Knicks",1,"COL",NA
2021,20,1,20,"Jalen Johnson","ATL","Duke","College/University",1630552,1610612737,"Atlanta Hawks","Atlanta","Hawks",1,"COL",NA
2021,21,1,21,"Keon Johnson","NYK","Tennessee","College/University",1630553,1610612752,"New York Knicks","New York","Knicks",1,"COL",NA
2021,22,1,22,"Isaiah Jackson","LAL","Kentucky","College/University",1630543,1610612747,"Los Angeles Lakers","Los Angeles","Lakers",1,"COL",NA
2021,23,1,23,"Usman Garuba","HOU","Madrid (ESP)","College/University",1630586,1610612745,"Houston Rockets","Houston","Rockets",1,"COL",NA
2021,24,1,24,"Josh Christopher","HOU","Arizona State","College/University",1630528,1610612745,"Houston Rockets","Houston","Rockets",1,"COL",NA
2021,25,1,25,"Quentin Grimes","LAC","Houston","College/University",1629656,1610612746,"LA Clippers","LA","Clippers",1,"COL",NA
2021,26,1,26,"Bones Hyland","DEN","Virginia Commonwealth","College/University",1630538,1610612743,"Denver Nuggets","Denver","Nuggets",1,"COL",NA
2021,27,1,27,"Cam Thomas","BKN","Louisiana State","College/University",1630560,1610612751,"Brooklyn Nets","Brooklyn","Nets",1,"COL",NA
2021,28,1,28,"Jaden Springer","PHI","Tennessee","College/University",1630531,1610612755,"Philadelphia 76ers","Philadelphia","76ers",1,"COL",NA
2021,29,1,29,"Day'Ron Sharpe","PHX","North Carolina","College/University",1630549,1610612756,"Phoenix Suns","Phoenix","Suns",1,"COL",NA
2021,30,1,30,"Santi Aldama","UTA","Loyola-Maryland","College/University",1630583,1610612762,"Utah Jazz","Utah","Jazz",1,"COL",NA
2021,31,2,1,"Isaiah Todd","MIL","Ignite","Other Team/Club",1630225,1610612749,"Milwaukee Bucks","Milwaukee","Bucks",1,"PRO","G League"
2021,32,2,2,"Jeremiah Robinson-Earl","NYK","Villanova","College/University",1630526,1610612752,"New York Knicks","New York","Knicks",1,"COL",NA
2021,33,2,3,"Jason Preston","ORL","Ohio","College/University",1630554,1610612753,"Orlando Magic","Orlando","Magic",1,"COL",NA
2021,34,2,4,"Rokas Jokubaitis","OKC","BC Zalgiris","Other Team/Club",1630599,1610612760,"Oklahoma City Thunder","Oklahoma City","Thunder",0,"PRO","Lithuania"
2021,35,2,5,"Herbert Jones","NOP","Alabama","College/University",1630529,1610612740,"New Orleans Pelicans","New Orleans","Pelicans",1,"COL",NA
2021,36,2,6,"Miles McBride","OKC","West Virginia","College/University",1630540,1610612760,"Oklahoma City Thunder","Oklahoma City","Thunder",1,"COL",NA
2021,37,2,7,"JT Thor","DET","Auburn","College/University",1630550,1610612765,"Detroit Pistons","Detroit","Pistons",1,"COL",NA
2021,38,2,8,"Ayo Dosunmu","CHI","Illinois","College/University",1630245,1610612741,"Chicago Bulls","Chicago","Bulls",1,"COL",NA
2021,39,2,9,"Neemias Queta","SAC","Utah State","College/University",1629674,1610612758,"Sacramento Kings","Sacramento","Kings",1,"COL",NA
2021,40,2,10,"Jared Butler","SAC","Baylor","College/University",1630215,1610612758,"Sacramento Kings","Sacramento","Kings",1,"COL",NA
2021,41,2,11,"Joe Wieskamp","SAS","Iowa","College/University",1630580,1610612759,"San Antonio Spurs","San Antonio","Spurs",1,"COL",NA
2021,42,2,12,"Isaiah Livers","DET","Michigan","College/University",1630587,1610612765,"Detroit Pistons","Detroit","Pistons",1,"COL",NA
2021,43,2,13,"Greg Brown III","NOP","Texas","College/University",1630535,1610612740,"New Orleans Pelicans","New Orleans","Pelicans",1,"COL",NA
2021,44,2,14,"Kessler Edwards","BKN","Pepperdine","College/University",1630556,1610612751,"Brooklyn Nets","Brooklyn","Nets",1,"COL",NA
2021,45,2,15,"Juhann Begarin","BOS","Paris","Other Team/Club",1630584,1610612738,"Boston Celtics","Boston","Celtics",0,"PRO","France"
2021,46,2,16,"Dalano Banton","TOR","Nebraska","College/University",1630625,1610612761,"Toronto Raptors","Toronto","Raptors",1,"COL",NA
2021,47,2,17,"David Johnson","TOR","Louisville","College/University",1630525,1610612761,"Toronto Raptors","Toronto","Raptors",1,"COL",NA
2021,48,2,18,"Sharife Cooper","ATL","Auburn","College/University",1630536,1610612737,"Atlanta Hawks","Atlanta","Hawks",1,"COL",NA
2021,49,2,19,"Marcus Zegarowski","BKN","Creighton","College/University",1630681,1610612751,"Brooklyn Nets","Brooklyn","Nets",0,"COL",NA
2021,50,2,20,"Filip Petrusev","PHI","KK Mega Leks","Other Team/Club",1630196,1610612755,"Philadelphia 76ers","Philadelphia","76ers",0,"PRO","Serbia"
2021,51,2,21,"Brandon Boston Jr.","MEM","Kentucky","College/University",1630527,1610612763,"Memphis Grizzlies","Memphis","Grizzlies",1,"COL",NA
2021,52,2,22,"Luka Garza","DET","Iowa","College/University",1630568,1610612765,"Detroit Pistons","Detroit","Pistons",1,"COL",NA
2021,53,2,23,"Charles Bassey","PHI","Western Kentucky","College/University",1629646,1610612755,"Philadelphia 76ers","Philadelphia","76ers",1,"COL",NA
2021,54,2,24,"Sandro Mamukelashvili","IND","Seton Hall","College/University",1630572,1610612754,"Indiana Pacers","Indiana","Pacers",1,"COL",NA
2021,55,2,25,"Aaron Wiggins","OKC","Maryland","College/University",1630598,1610612760,"Oklahoma City Thunder","Oklahoma City","Thunder",1,"COL",NA
2021,56,2,26,"Scottie Lewis","CHA","Florida","College/University",1630575,1610612766,"Charlotte Hornets","Charlotte","Hornets",1,"COL",NA
2021,57,2,27,"Balsa Koprivica","CHA","Florida State","College/University",1630638,1610612766,"Charlotte Hornets","Charlotte","Hornets",0,"COL",NA
2021,58,2,28,"Jericho Sims","NYK","Texas","College/University",1630579,1610612752,"New York Knicks","New York","Knicks",1,"COL",NA
2021,59,2,29,"RaiQuan Gray","BKN","Florida State","College/University",1630564,1610612751,"Brooklyn Nets","Brooklyn","Nets",1,"COL",NA
2021,60,2,30,"Georgios Kalaitzakis","IND","BC Nevezis","Other Team/Club",1630686,1610612754,"Indiana Pacers","Indiana","Pacers",1,"PRO","Greece"
2020,1,1,1,"Anthony Edwards","MIN","Georgia","College/University",1630162,1610612750,"Minnesota Timberwolves","Minnesota","Timberwolves",1,"COL",NA
2020,2,1,2,"James Wiseman","GSW","Memphis","College/University",1630164,1610612744,"Golden State Warriors","Golden State","Warriors",1,"COL",NA
2020,3,1,3,"LaMelo Ball","CHA","Illawarra","Other Team/Club",1630163,1610612766,"Charlotte Hornets","Charlotte","Hornets",1,"PRO","Australia"
2020,4,1,4,"Patrick Williams","CHI","Florida State","College/University",1630172,1610612741,"Chicago Bulls","Chicago","Bulls",1,"COL",NA
2020,5,1,5,"Isaac Okoro","CLE","Auburn","College/University",1630171,1610612739,"Cleveland Cavaliers","Cleveland","Cavaliers",1,"COL",NA
2020,6,1,6,"Onyeka Okongwu","ATL","Southern California","College/University",1630168,1610612737,"Atlanta Hawks","Atlanta","Hawks",1,"COL",NA
2020,7,1,7,"Killian Hayes","DET","Ratiopharm Ulm","Other Team/Club",1630165,1610612765,"Detroit Pistons","Detroit","Pistons",1,"PRO","Germany"
2020,8,1,8,"Obi Toppin","NYK","Dayton","College/University",1630167,1610612752,"New York Knicks","New York","Knicks",1,"COL",NA
2020,9,1,9,"Deni Avdija","WAS","Maccabi Tel Aviv B.C.","Other Team/Club",1630166,1610612764,"Washington Wizards","Washington","Wizards",1,"PRO","Israel"
2020,10,1,10,"Jalen Smith","PHX","Maryland","College/University",1630188,1610612756,"Phoenix Suns","Phoenix","Suns",1,"COL",NA
2020,11,1,11,"Devin Vassell","SAS","Florida State","College/University",1630170,1610612759,"San Antonio Spurs","San Antonio","Spurs",1,"COL",NA
2020,12,1,12,"Tyrese Haliburton","SAC","Iowa State","College/University",1630169,1610612758,"Sacramento Kings","Sacramento","Kings",1,"COL",NA
2020,13,1,13,"Kira Lewis Jr.","NOP","Alabama","College/University",1630184,1610612740,"New Orleans Pelicans","New Orleans","Pelicans",1,"COL",NA
2020,14,1,14,"Aaron Nesmith","BOS","Vanderbilt","College/University",1630174,1610612738,"Boston Celtics","Boston","Celtics",1,"COL",NA
2020,15,1,15,"Cole Anthony","ORL","North Carolina","College/University",1630175,1610612753,"Orlando Magic","Orlando","Magic",1,"COL",NA
2020,16,1,16,"Isaiah Stewart","POR","Washington","College/University",1630191,1610612757,"Portland Trail Blazers","Portland","Trail Blazers",1,"COL",NA
2020,17,1,17,"Aleksej Pokusevski","MIN","Olympiacos B.C.","Other Team/Club",1630197,1610612750,"Minnesota Timberwolves","Minnesota","Timberwolves",1,"PRO","Greece"
2020,18,1,18,"Josh Green","DAL","Arizona","College/University",1630182,1610612742,"Dallas Mavericks","Dallas","Mavericks",1,"COL",NA
2020,19,1,19,"Saddiq Bey","BKN","Villanova","College/University",1630180,1610612751,"Brooklyn Nets","Brooklyn","Nets",1,"COL",NA
2020,20,1,20,"Precious Achiuwa","MIA","Memphis","College/University",1630173,1610612748,"Miami Heat","Miami","Heat",1,"COL",NA
2020,21,1,21,"Tyrese Maxey","PHI","Kentucky","College/University",1630178,1610612755,"Philadelphia 76ers","Philadelphia","76ers",1,"COL",NA
2020,22,1,22,"Zeke Nnaji","DEN","Arizona","College/University",1630192,1610612743,"Denver Nuggets","Denver","Nuggets",1,"COL",NA
2020,23,1,23,"Leandro Bolmaro","NYK","FC Barcelona Basquet","Other Team/Club",1630195,1610612752,"New York Knicks","New York","Knicks",1,"PRO","Spain"
