"yearDraft","numberPickOverall","numberRound","numberRoundPick","namePlayer","nameOrganizationFrom","typeOrganizationFrom","idPlayer","idTeam","nameTeam","PLAYER_PROFILE_FLAG","slugOrganizationTypeFrom","locationOrganizationFrom","slugTeam","urlPlayerHeadshot"
2022,1,1,1,"Paolo Banchero","Duke","College/University",1631094,1610612753,"Orlando Magic",1,"COL",NA,"ORL","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631094.png"
2022,2,1,2,"Chet Holmgren","Gonzaga","College/University",1631096,1610612760,"Oklahoma City Thunder",1,"COL",NA,"OKC","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631096.png"
2022,3,1,3,"Jabari Smith Jr.","Auburn","College/University",1631095,1610612745,"Houston Rockets",1,"COL",NA,"HOU","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631095.png"
2022,4,1,4,"Keegan Murray","Iowa","College/University",1631099,1610612758,"Sacramento Kings",1,"COL",NA,"SAC","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631099.png"
2022,5,1,5,"Jaden Ivey","Purdue","College/University",1631093,1610612765,"Detroit Pistons",1,"COL",NA,"DET","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631093.png"
2022,6,1,6,"Bennedict Mathurin","Arizona","College/University",1631097,1610612754,"Indiana Pacers",1,"COL",NA,"IND","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631097.png"
2022,7,1,7,"Shaedon Sharpe","Kentucky","College/University",1631101,1610612757,"Portland Trail Blazers",1,"COL",NA,"POR","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631101.png"
2022,8,1,8,"Dyson Daniels","Ignite","Other Team/Club",1630700,1610612740,"New Orleans Pelicans",1,"PRO","G League","NOP","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630700.png"
2022,9,1,9,"Jeremy Sochan","Baylor","College/University",1631110,1610612759,"San Antonio Spurs",1,"COL",NA,"SAS","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631110.png"
2022,10,1,10,"Johnny Davis","Wisconsin","College/University",1631098,1610612764,"Washington Wizards",1,"COL",NA,"WAS","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631098.png"
2022,11,1,11,"Ousmane Dieng","Breakers","Other Team/Club",1631172,1610612752,"New York Knicks",1,"PRO","New Zealand","NYK","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631172.png"
2022,12,1,12,"Jalen Williams","Santa Clara","College/University",1631114,1610612760,"Oklahoma City Thunder",1,"COL",NA,"OKC","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631114.png"
2022,13,1,13,"Jalen Duren","Memphis","College/University",1631105,1610612766,"Charlotte Hornets",1,"COL",NA,"CHA","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631105.png"
2022,14,1,14,"Ochai Agbaji","Kansas","College/University",1630534,1610612739,"Cleveland Cavaliers",1,"COL",NA,"CLE","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630534.png"
2022,15,1,15,"Mark Williams","Duke","College/University",1631109,1610612766,"Charlotte Hornets",1,"COL",NA,"CHA","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631109.png"
